title,summary,author,is_com_or_sub,link,id,published,published_parsed
Wie diese Katzen-Accessoires Tausenden Wildtieren das Leben retten,"Katzen gelten als eines der Hauptprobleme des fortschreitenden Vogelsterbens. Wie die Vogelwarte Sempach jetzt aufzeigt, kann das aber überraschend einfach reduziert werden. Allein durch eine bunte Halskrause tötet eine Katze 37 Prozent weniger Vögel.",,sub,https://www.20min.ch/509897035395,509897035395,"Sun, 01 May 2022 19:31:14 GMT","time.struct_time(tm_year=2022, tm_mon=5, tm_mday=1, tm_hour=19, tm_min=31, tm_sec=14, tm_wday=6, tm_yday=121, tm_isdst=0)"
Nach diesem Luzern-Hammer ist Lausanne auf halbem Weg in die Challenge League,3:0 fertig der Zweitletzte Luzern Schlusslicht Lausanne ab. Für die Waadtländer bedeutet dies der fast sichere direkte Abstieg. Und Luzern? Die erfreuen sich eines sehenswerten Tores. Alle Tore und Highlights jetzt im Video.,,sub,https://www.20min.ch/485940952224,485940952224,"Sun, 01 May 2022 18:10:51 GMT","time.struct_time(tm_year=2022, tm_mon=5, tm_mday=1, tm_hour=18, tm_min=10, tm_sec=51, tm_wday=6, tm_yday=121, tm_isdst=0)"
Lausanne-Ouchy patzt doppelt – Kriens gewinnt wieder,Um viel ging es nicht mehr in der Partie zwischen Kriens und Lausanne-Ouchy. Für die Krienser gab es aber mal wieder einen Sieg – auch weil Lausanne-Ouchy in der Verteidigung zwei Mal patzte. Alle Tore und Highlights im Video.,,sub,https://www.20min.ch/156777871802,156777871802,"Sat, 30 Apr 2022 21:38:16 GMT","time.struct_time(tm_year=2022, tm_mon=4, tm_mday=30, tm_hour=21, tm_min=38, tm_sec=16, tm_wday=5, tm_yday=120, tm_isdst=0)"
Auto prallt in zwei Fahrzeuge und überschlägt sich mehrmals,Eine seitliche Kollision führte am Samstag im Kanton Nidwalden zu einem spektakulären Unfall. Eine Person wurde dabei verletzt.,,sub,https://www.20min.ch/584904851033,584904851033,"Sat, 30 Apr 2022 17:15:48 GMT","time.struct_time(tm_year=2022, tm_mon=4, tm_mday=30, tm_hour=17, tm_min=15, tm_sec=48, tm_wday=5, tm_yday=120, tm_isdst=0)"
Ausgebüxtes Rind verletzt Frau schwer und schleift Mann 20 Meter mit,Bei einem Anlass auf dem Braunviehzuchtareal in der Stadt Zug ist ein Rind ausgebüxt und liess sich nicht wieder unter Kontrolle bringen. Eine Frau wurde vom Tier überrannt und musste mit der Rega in ein ausserkantonales Spital geflogen werden.,,sub,https://www.20min.ch/332326212588,332326212588,"Sat, 30 Apr 2022 12:40:03 GMT","time.struct_time(tm_year=2022, tm_mon=4, tm_mday=30, tm_hour=12, tm_min=40, tm_sec=3, tm_wday=5, tm_yday=120, tm_isdst=0)"
Mall of Switzerland erhält mit Multi aus den Niederlanden neuen Betreiber,In der Mall of Switzerland wird ein neues Kapitel aufgeschlagen. La Société Générale Immobilière Suisse mit Sitz in Genf gibt den Betrieb per 1. Juni an die Multi Corporation aus den Niederlanden ab. Damit soll die Mall von der Erfahrung und dem Netzwerk von Multi profitieren.,,sub,https://www.20min.ch/237857890371,237857890371,"Fri, 29 Apr 2022 10:53:35 GMT","time.struct_time(tm_year=2022, tm_mon=4, tm_mday=29, tm_hour=10, tm_min=53, tm_sec=35, tm_wday=4, tm_yday=119, tm_isdst=0)"
Auto erfasst Mädchen (7) auf Velo und schleppt es 20 Meter weit,Der Autofahrer und das Mädchen auf dem Kindervelo kollidierten im Kreisverkehr. Es musste mit erheblichen Beinverletzungen ins Spital eingeliefert werden.,,sub,https://www.20min.ch/886905723992,886905723992,"Fri, 29 Apr 2022 07:19:46 GMT","time.struct_time(tm_year=2022, tm_mon=4, tm_mday=29, tm_hour=7, tm_min=19, tm_sec=46, tm_wday=4, tm_yday=119, tm_isdst=0)"
Kind (5) stirbt nach Kollision mit Baustellenfahrzeug,Am Donnerstagvormittag ist es in Horw zu einem tödlichen Verkehrsunfall gekommen. Die genaue Unfallursache ist noch nicht bekannt.,,sub,https://www.20min.ch/858506597221,858506597221,"Thu, 28 Apr 2022 13:45:36 GMT","time.struct_time(tm_year=2022, tm_mon=4, tm_mday=28, tm_hour=13, tm_min=45, tm_sec=36, tm_wday=3, tm_yday=118, tm_isdst=0)"
Exhumierungen werden wegen schlechter Verwesung von Toten nötig,Der Friedhof Ebikon muss saniert werden. Bei Vorarbeiten sind negative Überraschungen aufgetreten: Der Boden ist an vielen Orten lehmhaltig und enthält Stauwasser. Darum werden Exhumierungen nötig.,,sub,https://www.20min.ch/151312400099,151312400099,"Thu, 28 Apr 2022 12:22:17 GMT","time.struct_time(tm_year=2022, tm_mon=4, tm_mday=28, tm_hour=12, tm_min=22, tm_sec=17, tm_wday=3, tm_yday=118, tm_isdst=0)"
Drogenring schickte mangelhaftes Kokain wieder zum Absender,"Neun Personen wird vorgeworfen, grosse Mengen Kokain und Heroin importiert und in der Zentralschweiz verkauft zu haben. Die Staatsanwaltschaft spricht von einem «grossen Fisch».",,sub,https://www.20min.ch/611974742054,611974742054,"Thu, 28 Apr 2022 10:07:44 GMT","time.struct_time(tm_year=2022, tm_mon=4, tm_mday=28, tm_hour=10, tm_min=7, tm_sec=44, tm_wday=3, tm_yday=118, tm_isdst=0)"
Solar-Wohnwagen geht auf Weltreise,"Mit dem Wohnwagen Solar Butterfly wollen Solarpioniere die Welt umrunden. Die Energie dazu liefert der Wohnwagen selbst.
(Video: Gianni Walther)",,sub,https://www.20min.ch/184964716213,184964716213,"Thu, 28 Apr 2022 06:02:40 GMT","time.struct_time(tm_year=2022, tm_mon=4, tm_mday=28, tm_hour=6, tm_min=2, tm_sec=40, tm_wday=3, tm_yday=118, tm_isdst=0)"
"Zuger nerven sich, weil sie beim Vertippen an der Parkuhr gebüsst werden","Trotz Bezahlung kann man eine Parkbusse kassieren: Wer in Zug bei digitalen Parkuhren sein Kontrollschild fehlerhaft eintippt, muss mit einer Busse rechnen. Die Ombudsfrau fordert mehr Kulanz.",,sub,https://www.20min.ch/361944042448,361944042448,"Wed, 27 Apr 2022 21:49:44 GMT","time.struct_time(tm_year=2022, tm_mon=4, tm_mday=27, tm_hour=21, tm_min=49, tm_sec=44, tm_wday=2, tm_yday=117, tm_isdst=0)"
Mann (68) stellt Auto auf abschüssiger Strasse ab – Fahrzeug überrollt Familie,In Boswil AG ist es am Dienstagabend zu einem tödlichen Unfall gekommen. Ein Vater und zwei Kinder wurden von einem Auto überrollt. Ein Kind (2) erlag seinen Verletzungen im Spital.,,sub,https://www.20min.ch/506648385824,506648385824,"Wed, 27 Apr 2022 05:45:47 GMT","time.struct_time(tm_year=2022, tm_mon=4, tm_mday=27, tm_hour=5, tm_min=45, tm_sec=47, tm_wday=2, tm_yday=117, tm_isdst=0)"
«In freier Wildbahn wäre ein solcher Vorfall nicht passiert»,"Ein Vorfall im Natur- und Tierpark Goldau endete für Bärin Laila (31) tödlich. Der Tierpark nennt das Verhalten des Angreifers «natürlich». Reno Sommerhalder erklärt, wieso dies in der freien Wildbahn nicht passiert wäre.",,sub,https://www.20min.ch/285021164227,285021164227,"Wed, 27 Apr 2022 02:46:01 GMT","time.struct_time(tm_year=2022, tm_mon=4, tm_mday=27, tm_hour=2, tm_min=46, tm_sec=1, tm_wday=2, tm_yday=117, tm_isdst=0)"
Kanton wollte Mann wegen Unfall nicht einbürgern – jetzt muss er doch,"Weil er einen Autounfall gebaut hatte, verwehrte ihm der Kanton Schwyz die anstehende Einbürgerung. Dagegen ging ein Wirt aus Goldau vor und bekam nun Recht gesprochen: Schwyz muss ihn im Sommer einbürgern – ein Fall mit weitreichenden Konsequenzen.",,sub,https://www.20min.ch/783619470685,783619470685,"Tue, 26 Apr 2022 12:56:41 GMT","time.struct_time(tm_year=2022, tm_mon=4, tm_mday=26, tm_hour=12, tm_min=56, tm_sec=41, tm_wday=1, tm_yday=116, tm_isdst=0)"
